exp11_11_2,Number of Total Clusters
Area of Cluster783,56.5
Area of Cluster784,56.5
Area of Cluster785,57.0
Area of Cluster786,57.0
Area of Cluster787,58.0
Area of Cluster788,58.5
Area of Cluster789,58.5
Area of Cluster790,59.0
Area of Cluster791,59.5
Area of Cluster792,59.5
Area of Cluster793,59.5
Area of Cluster794,59.5
Area of Cluster795,59.5
Area of Cluster796,60.0
Area of Cluster797,60.5
Area of Cluster798,60.5
Area of Cluster799,61.0
Area of Cluster800,61.0
Area of Cluster801,62.0
Area of Cluster802,62.0
Area of Cluster803,62.5
Area of Cluster804,62.5
Area of Cluster805,62.5
Area of Cluster806,63.0
Area of Cluster807,63.5
Area of Cluster808,63.5
Area of Cluster809,63.5
Area of Cluster810,63.5
Area of Cluster811,64.0
Area of Cluster812,64.0
Area of Cluster813,64.5
Area of Cluster814,64.5
Area of Cluster815,65.0
Area of Cluster816,65.5
Area of Cluster817,66.0
Area of Cluster818,66.0
Area of Cluster819,66.0
Area of Cluster820,66.0
Area of Cluster821,66.5
Area of Cluster822,66.5
Area of Cluster823,68.0
Area of Cluster824,68.5
Area of Cluster825,69.0
Area of Cluster826,69.5
Area of Cluster827,69.5
Area of Cluster828,69.5
Area of Cluster829,70.5
Area of Cluster830,71.0
Area of Cluster831,71.0
Area of Cluster832,72.5
Area of Cluster833,72.5
Area of Cluster834,73.0
Area of Cluster835,74.0
Area of Cluster836,75.0
Area of Cluster837,75.5
Area of Cluster838,76.5
Area of Cluster839,77.0
Area of Cluster840,77.0
Area of Cluster841,78.0
Area of Cluster842,78.5
Area of Cluster843,79.5
Area of Cluster844,79.5
Area of Cluster845,80.5
Area of Cluster846,81.0
Area of Cluster847,81.0
Area of Cluster848,81.0
Area of Cluster849,81.5
Area of Cluster850,81.5
Area of Cluster851,82.0
Area of Cluster852,82.0
Area of Cluster853,82.5
Area of Cluster854,83.0
Area of Cluster855,84.0
Area of Cluster856,84.5
Area of Cluster857,84.5
Area of Cluster858,85.0
Area of Cluster859,85.0
Area of Cluster860,86.5
Area of Cluster861,88.0
Area of Cluster862,90.0
Area of Cluster863,90.0
Area of Cluster864,90.0
Area of Cluster865,90.0
Area of Cluster866,90.5
Area of Cluster867,91.0
Area of Cluster868,92.0
Area of Cluster869,92.0
Area of Cluster870,92.0
Area of Cluster871,92.5
Area of Cluster872,92.5
Area of Cluster873,94.0
Area of Cluster874,95.0
Area of Cluster875,96.5
Area of Cluster876,96.5
Area of Cluster877,97.0
Area of Cluster878,97.0
Area of Cluster879,98.0
Area of Cluster880,98.0
Area of Cluster881,98.5
Area of Cluster882,98.5
Area of Cluster883,99.0
Area of Cluster884,99.0
Area of Cluster885,101.0
Area of Cluster886,101.0
Area of Cluster887,101.0
Area of Cluster888,101.5
Area of Cluster889,102.0
Area of Cluster890,102.5
Area of Cluster891,103.0
Area of Cluster892,103.5
Area of Cluster893,103.5
Area of Cluster894,105.0
Area of Cluster895,106.0
Area of Cluster896,106.0
Area of Cluster897,106.0
Area of Cluster898,107.0
Area of Cluster899,107.5
Area of Cluster900,107.5
Area of Cluster901,108.0
Area of Cluster902,108.0
Area of Cluster903,108.5
Area of Cluster904,109.0
Area of Cluster905,110.0
Area of Cluster906,111.0
Area of Cluster907,111.5
Area of Cluster908,112.0
Area of Cluster909,113.0
Area of Cluster910,114.0
Area of Cluster911,116.5
Area of Cluster912,118.0
Area of Cluster913,118.5
Area of Cluster914,120.5
Area of Cluster915,121.0
Area of Cluster916,121.5
Area of Cluster917,122.0
Area of Cluster918,124.0
Area of Cluster919,124.0
Area of Cluster920,124.5
Area of Cluster921,126.5
Area of Cluster922,127.0
Area of Cluster923,128.0
Area of Cluster924,128.5
Area of Cluster925,130.0
Area of Cluster926,130.5
Area of Cluster927,131.0
Area of Cluster928,132.0
Area of Cluster929,132.5
Area of Cluster930,134.0
Area of Cluster931,135.0
Area of Cluster932,136.0
Area of Cluster933,136.5
Area of Cluster934,136.5
Area of Cluster935,138.5
Area of Cluster936,138.5
Area of Cluster937,139.5
Area of Cluster938,140.0
Area of Cluster939,141.0
Area of Cluster940,143.5
Area of Cluster941,144.0
Area of Cluster942,144.0
Area of Cluster943,145.0
Area of Cluster944,150.5
Area of Cluster945,152.0
Area of Cluster946,153.0
Area of Cluster947,153.5
Area of Cluster948,155.0
Area of Cluster949,155.5
Area of Cluster950,155.5
Area of Cluster951,156.5
Area of Cluster952,157.0
Area of Cluster953,160.5
Area of Cluster954,161.0
Area of Cluster955,164.0
Area of Cluster956,164.0
Area of Cluster957,164.5
Area of Cluster958,165.0
Area of Cluster959,166.0
Area of Cluster960,170.0
Area of Cluster961,170.5
Area of Cluster962,172.0
Area of Cluster963,172.0
Area of Cluster964,174.0
Area of Cluster965,177.0
Area of Cluster966,177.0
Area of Cluster967,179.0
Area of Cluster968,179.0
Area of Cluster969,179.5
Area of Cluster970,185.0
Area of Cluster971,185.5
Area of Cluster972,185.5
Area of Cluster973,189.5
Area of Cluster974,191.0
Area of Cluster975,196.5
Area of Cluster976,206.0
Area of Cluster977,207.5
Area of Cluster978,208.0
Area of Cluster979,208.5
Area of Cluster980,209.0
Area of Cluster981,214.0
Area of Cluster982,214.5
Area of Cluster983,215.0
Area of Cluster984,216.0
Area of Cluster985,216.5
Area of Cluster986,217.5
Area of Cluster987,221.0
Area of Cluster988,221.0
Area of Cluster989,222.5
Area of Cluster990,223.5
Area of Cluster991,224.5
Area of Cluster992,226.5
Area of Cluster993,228.5
Area of Cluster994,229.5
Area of Cluster995,230.0
Area of Cluster996,231.5
Area of Cluster997,237.5
Area of Cluster998,238.5
Area of Cluster999,238.5
Area of Cluster1000,242.0
Area of Cluster1001,247.0
Area of Cluster1002,250.0
Area of Cluster1003,252.0
Area of Cluster1004,255.5
Area of Cluster1005,258.5
Area of Cluster1006,265.0
Area of Cluster1007,270.5
Area of Cluster1008,276.0
Area of Cluster1009,277.5
Area of Cluster1010,284.0
Area of Cluster1011,297.0
Area of Cluster1012,301.5
Area of Cluster1013,302.0
Area of Cluster1014,303.5
Area of Cluster1015,306.0
Area of Cluster1016,306.5
Area of Cluster1017,319.0
Area of Cluster1018,322.0
Area of Cluster1019,334.5
Area of Cluster1020,340.0
Area of Cluster1021,355.5
Area of Cluster1022,357.0
Area of Cluster1023,358.5
Area of Cluster1024,361.0
Area of Cluster1025,364.5
Area of Cluster1026,373.0
Area of Cluster1027,373.5
Area of Cluster1028,374.5
Area of Cluster1029,396.5
Area of Cluster1030,406.5
Area of Cluster1031,421.5
Area of Cluster1032,425.5
Area of Cluster1033,427.0
Area of Cluster1034,427.5
Area of Cluster1035,430.0
Area of Cluster1036,438.0
Area of Cluster1037,459.0
Area of Cluster1038,465.0
Area of Cluster1039,470.5
Area of Cluster1040,480.5
Area of Cluster1041,488.5
Area of Cluster1042,506.0
Area of Cluster1043,522.0
Area of Cluster1044,528.5
Area of Cluster1045,545.5
Area of Cluster1046,575.0
Area of Cluster1047,578.5
Area of Cluster1048,657.0
Area of Cluster1049,682.5
Area of Cluster1050,707.0
Area of Cluster1051,773.5
Area of Cluster1052,923.5
Area of Cluster1053,943.0
Area of Cluster1054,1011.0
Area of Cluster1055,1118.5
Area of Cluster1056,1140.5
Area of Cluster1057,1646.5
Area of Cluster1058,1698.0
